theta,epsilon,method,N_D,N_D_only,N_R_only,N_T,f,achieved_frob,validate_frob,wall_s,all_checks_pass
0.5,0.001,HRSA(f=4),53,48,5,525,8,0.000690645,0.0006906454487679416,1172,true
1.0053,0.001,HRSA(f=4),49,43,6,484,8,0.000691209,0.0006912093107018674,1174,true
2.0106,0.001,HRSA(f=4),65,60,5,645,8,0.000701331,0.0007013311465033565,1187,true
2.14,0.001,HRSA(f=4),61,59,2,608,8,0.000691811,0.0006918107865746029,1178,true
2.5133,0.001,HRSA(f=4),51,46,5,505,8,0.000676803,0.0006768031667823872,1182,true
2.879,0.001,HRSA(f=4),43,41,2,428,8,0.000689378,0.0006893784975241806,1187,true
