# angle target_eps D_gates eps_diff_val result
-0.9524760607 0.0001 12 1.14899e-05 Success
-0.9561047683 0.01 8 0.000816672 Success
-0.9628889719 0.001 12 3.74036e-05 Success
-0.9635917043 0.1 4 0.0295407 Success
-0.9677359494 0.01 8 0.000528206 Success
-0.9707880573 0.01 8 0.000248787 Success
-0.9806975520 1 0 0.686531 Success
-0.9879421710 0.001 8 0.000237155 Success
-1.0138181987 1 0 0.709227 Success
-1.0194875849 0.001 8 0.000745673 Success
-1.0254747183 0.0001 12 1.6845e-05 Success
-1.0358850774 0.1 4 0.0115499 Success
-1.0361850912 1 0 0.724526 Success
-1.0444609212 0.01 4 0.00853264 Success
-1.0510327632 1 0 0.73467 Success
-1.0531458650 1 0 0.736113 Success
-1.0535091624 1 0 0.736361 Success
-1.0560063489 0.0001 12 2.36909e-05 Success
-1.0574682700 1 0 0.739063 Success
-1.0592054692 0.001 8 0.000857646 Success
-1.0595093085 0.01 8 0.000861149 Success
-1.0662102040 0.001 12 2.62974e-05 Success
-1.0710839778 0.1 4 0.0188678 Success
-1.0736182836 0.0001 12 4.80751e-05 Success
-1.0780526209 0.1 4 0.0234061 Success
-1.0816517308 1 0 0.755556 Success
-1.0859334923 0.01 8 0.0010242 Success
-1.0884128093 1 0 0.760162 Success
-1.0944072046 1 0 0.764244 Success
-1.0993826022 0.001 12 1.1289e-05 Success
-1.1154043530 0.0001 12 4.57838e-05 Success
-1.1227369424 0.001 8 0.000791732 Success
-1.1244849693 0.001 8 0.000509212 Success
-1.1318495125 1 0 0.789701 Success
-1.1508077978 0.1 4 0.0214037 Success
-1.1581417653 0.01 8 0.000664047 Success
-1.1593849165 1 0 0.808378 Success
-1.1596077408 0.001 12 2.4918e-05 Success
-1.1613960521 1 0 0.809741 Success
-1.1648127917 0.001 8 0.000812321 Success
-1.1777260566 0.01 8 0.00103873 Success
-1.1810037465 0.1 4 0.0222847 Success
-1.1813992091 0.001 8 0.000547542 Success
-1.1821026562 0.1 4 0.0226929 Success
-1.1874408391 0.001 12 4.74643e-05 Success
-1.1892161648 0.001 11 2.98132e-05 Success
-1.1948685746 0.001 8 0.000386816 Success
-1.1952384149 0.1 4 0.0284527 Success
-1.1968388231 0.0001 12 1.06967e-05 Success
-1.2063615706 1 0 0.840154 Success
-1.2123526012 1 0 0.844198 Success
-1.2156320225 0.1 4 0.0282278 Success
-1.2222913836 0.1 4 0.0291673 Success
